,,Lowes.com,,,,,,,,,,,,,,,,
,MODEL MATCH,BRAND,MODEL NUMBER,MSRP,MAP,MODEL CHECKED,MSRP CHECK,PRICE CHECK,NET PRICE CHECK,AVAILABLE CHECK,NEXT AVAILABLE CHECK,ETA CHECK,Collected @,Status,MSRP Difference,,Status,Mean
,FALSE,GE APPLIANCES,GSD6900NCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GSD6900NBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GLD5860LSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GFE29HGDWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,Ge,GFC720N,$199.00,,,,,,,,,,Something went wrong,,,,
,FALSE,GE,GFC565W,$139.00,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDT655SMJES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDSC3KCXWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDSC3KCXBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDSC0KCXWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDSC0KCXBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP670SGVBB,$949.00,$699.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP665SYNFS,$999.00,$999.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP645SYNFS,$899.00,$899.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP630PYRFS,$829.00,$521.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP630PMRES,$829.00,$521.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP630PGRWW,$779.00,$523.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP630PGRBB,$779.00,$523.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP615HYNFS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP615HSMSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP615HFMDS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDP615HBMTS,,,,,,,,,,,Something went wrong,,,,
